Date,Open,High,Low,Close,Adj Close,Volume
2015-10-02,0.207812,0.208437,0.197656,0.203125,0.126642,57107200
2015-10-05,0.203437,0.225781,0.201406,0.218750,0.136383,42681600
2015-10-06,0.218750,0.237187,0.218750,0.226718,0.141351,8345600
2015-10-07,0.228437,0.246093,0.227968,0.243125,0.151581,9888000
2015-10-08,0.240468,0.249843,0.238593,0.249687,0.155672,4832000
2015-10-09,0.250000,0.254062,0.238906,0.240781,0.150119,4953600
2015-10-13,0.239062,0.239062,0.217656,0.217656,0.135701,14758400
2015-10-14,0.215937,0.226562,0.210312,0.211718,0.131999,15040000
2015-10-15,0.213593,0.214375,0.208437,0.210156,0.131025,12601600
2015-10-16,0.210156,0.210156,0.202031,0.202031,0.125960,13100800
2015-10-19,0.202031,0.203125,0.199062,0.199218,0.124206,14720000
2015-10-20,0.200312,0.200312,0.193906,0.195312,0.121771,10976000
2015-10-21,0.195312,0.195468,0.187500,0.187500,0.116900,15072000
2015-10-22,0.190312,0.193750,0.185156,0.187500,0.116900,12985600
2015-10-23,0.187500,0.189687,0.183906,0.185000,0.115341,13299200
2015-10-26,0.184843,0.193750,0.180312,0.193750,0.120797,25254400
2015-10-27,0.195156,0.213437,0.195156,0.201562,0.125667,27462400
2015-10-28,0.192187,0.193281,0.190000,0.191875,0.119628,2944000
2015-10-29,0.184687,0.191406,0.182656,0.183750,0.114562,14342400
2015-10-30,0.184531,0.187812,0.181875,0.184375,0.114952,13625600
2015-11-03,0.186093,0.188437,0.176718,0.177031,0.110373,18323200
2015-11-04,0.176562,0.193750,0.176406,0.183750,0.114562,19449600
2015-11-05,0.183750,0.190625,0.178593,0.184218,0.114854,18937600
2015-11-06,0.182031,0.184531,0.176875,0.176875,0.110276,13593600
2015-11-09,0.177812,0.181093,0.169218,0.172812,0.107743,16838400
2015-11-10,0.171875,0.175000,0.162500,0.164062,0.102287,28825600
2015-11-11,0.164687,0.167968,0.160781,0.165000,0.102872,19814400
2015-11-12,0.165156,0.165156,0.159843,0.160937,0.100339,16185600
2015-11-13,0.160625,0.170312,0.159687,0.165625,0.103262,18886400
2015-11-16,0.165625,0.167187,0.161093,0.162500,0.101313,16134400
2015-11-17,0.162968,0.173281,0.162656,0.171718,0.107061,23571200
2015-11-18,0.173437,0.176406,0.164062,0.164062,0.102287,23270400
2015-11-19,0.165000,0.166875,0.161250,0.163906,0.102190,12672000
2015-11-23,0.165156,0.165781,0.161250,0.161406,0.100631,8819200
2015-11-24,0.162812,0.167500,0.159687,0.167500,0.104431,9241600
2015-11-25,0.164062,0.164218,0.157812,0.159687,0.099560,9702400
2015-11-26,0.159843,0.167500,0.159531,0.165156,0.102969,14598400
2015-11-27,0.167031,0.167031,0.156250,0.156250,0.097417,13766400
2015-11-30,0.157031,0.157343,0.137968,0.137968,0.086019,22272000
2015-12-01,0.142031,0.142187,0.125000,0.125000,0.077933,22208000
